1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 120+7: 571 games (0.00%)
  - 2700+10: 570 games (0.00%)
  - 480+25: 566 games (0.00%)
  - 0+8: 563 games (0.00%)
  - 60+30: 561 games (0.00%)
  - 720+15: 557 games (0.00%)
  - 1500+2: 549 games (0.00%)
  - 1500+25: 539 games (0.00%)
  - 3600+10: 535 games (0.00%)
  - 660+2: 533 games (0.00%)
  - 840+8: 530 games (0.00%)
  - 720+8: 528 games (0.00%)
  - 120+6: 527 games (0.00%)
  - 1140+9: 516 games (0.00%)
  - 60+7: 515 games (0.00%)
  - 15+7: 498 games (0.00%)
  - 1140+3: 496 games (0.00%)
  - 7200+0: 490 games (0.00%)
  - 15+10: 481 games (0.00%)
  - 30+4: 478 games (0.00%)
  - 540+10: 469 games (0.00%)
  - 1800+8: 467 games (0.00%)
  - 240+30: 452 games (0.00%)
  - 300+40: 449 games (0.00%)
  - 720+6: 447 games (0.00%)
  - 10800+3: 428 games (0.00%)
  - 240+7: 425 games (0.00%)
  - 780+5: 424 games (0.00%)
  - 1140+0: 422 games (0.00%)
  - 960+5: 417 games (0.00%)
  - 2400+3: 417 games (0.00%)
  - 0+7: 417 games (0.00%)
  - 600+17: 414 games (0.00%)
  - 660+5: 410 games (0.00%)
  - 360+12: 406 games (0.00%)
  - 2100+3: 402 games (0.00%)
  - 900+16: 394 games (0.00%)
  - 1800+12: 385 games (0.00%)
  - 0+15: 384 games (0.00%)
  - 60+20: 380 games (0.00%)
  - 600+25: 377 games (0.00%)
  - 2700+5: 377 games (0.00%)
  - 300+17: 376 games (0.00%)
  - 2700+20: 371 games (0.00%)
  - 180+30: 368 games (0.00%)
  - 3600+20: 366 games (0.00%)
  - 90+4: 363 games (0.00%)
  - 30+10: 361 games (0.00%)
  - 540+6: 361 games (0.00%)
  - 1020+7: 361 games (0.00%)
  - 900+11: 360 games (0.00%)
  - 840+6: 357 games (0.00%)
  - 15+11: 356 games (0.00%)
  - 3600+5: 354 games (0.00%)
  - 1080+14: 352 games (0.00%)
  - 1500+7: 348 games (0.00%)
  - 2100+10: 345 games (0.00%)
  - 660+15: 344 games (0.00%)
  - 300+180: 344 games (0.00%)
  - 1200+9: 342 games (0.00%)
  - 300+11: 340 games (0.00%)
  - 540+1: 340 games (0.00%)
  - 1200+14: 339 games (0.00%)
  - 1080+3: 337 games (0.00%)
  - 300+13: 332 games (0.00%)
  - 30+6: 331 games (0.00%)
  - 1800+45: 330 games (0.00%)
  - 780+10: 328 games (0.00%)
  - 0+6: 326 games (0.00%)
  - 0+40: 325 games (0.00%)
  - 2100+30: 322 games (0.00%)
  - 5400+2: 319 games (0.00%)
  - 2100+5: 319 games (0.00%)
