TimeControl,Count,Proportion (%)
"10800+10",218,0.00
"780+2",216,0.00
"840+11",212,0.00
"1200+60",211,0.00
"240+180",211,0.00
"960+15",207,0.00
"15+180",203,0.00
"660+9",200,0.00
"300+60",199,0.00
"120+14",193,0.00
"45+13",192,0.00
"600+60",192,0.00
"1020+5",192,0.00
"90+9",190,0.00
"960+14",187,0.00
"720+1",185,0.00
"540+12",181,0.00
"300+18",181,0.00
"1200+12",181,0.00
"2700+2",179,0.00
"900+180",177,0.00
"360+35",174,0.00
"600+14",173,0.00
"540+45",172,0.00
"180+16",172,0.00
"840+2",171,0.00
"360+15",169,0.00
"480+45",165,0.00
"300+35",164,0.00
"5400+60",164,0.00
"240+11",163,0.00
"60+25",162,0.00
"780+13",161,0.00
"1140+11",161,0.00
"660+20",160,0.00
"1140+6",158,0.00
"720+19",158,0.00
"0+19",157,0.00
"90+35",157,0.00
"1080+9",157,0.00
"10800+5",153,0.00
"2700+180",151,0.00
"900+90",149,0.00
"90+6",149,0.00
"2100+15",148,0.00
"780+11",147,0.00
"300+25",146,0.00
"1800+4",146,0.00
"2400+1",145,0.00
"1500+120",144,0.00
"3600+45",143,0.00
"540+13",142,0.00
"1200+25",140,0.00
"1800+13",140,0.00
"720+20",139,0.00
"180+20",139,0.00
"3600+15",138,0.00
"3600+8",138,0.00
"1500+8",137,0.00
"3600+4",136,0.00
"720+14",136,0.00
"3000+10",136,0.00
"1080+16",135,0.00
"240+20",135,0.00
"840+10",133,0.00
"1200+45",132,0.00
"2700+6",131,0.00
"900+13",131,0.00
"300+90",131,0.00
"1200+16",131,0.00
"600+45",130,0.00
"1800+60",128,0.00
"2100+7",126,0.00
"780+8",123,0.00
"780+9",122,0.00
"3600+180",122,0.00
"10800+1",121,0.00
"1080+8",121,0.00
"6300+0",120,0.00
"780+1",118,0.00
"1800+11",117,0.00
"720+9",117,0.00
"2700+1",113,0.00
"120+18",113,0.00
"7200+30",113,0.00
"240+9",113,0.00
"7200+10",112,0.00
"1200+180",111,0.00
"420+12",110,0.00
"180+13",109,0.00
"4500+5",109,0.00
"1440+0",108,0.00
"2100+60",106,0.00
"0+20",104,0.00
"2700+8",104,0.00
"5400+5",104,0.00
"780+6",102,0.00
"960+12",102,0.00
"9000+0",102,0.00
"360+9",101,0.00
"15+20",100,0.00
"2400+15",98,0.00
"480+13",95,0.00
"1800+90",95,0.00
"960+6",95,0.00
"15+12",94,0.00
"180+18",94,0.00
"1200+11",93,0.00
"4500+0",93,0.00
"2100+25",93,0.00
"180+25",93,0.00
"360+30",93,0.00
"15+30",91,0.00
"780+7",91,0.00
"30+7",91,0.00
"0+45",91,0.00
"45+10",91,0.00
"10800+15",91,0.00
"1800+40",91,0.00
"1800+9",90,0.00
"480+11",89,0.00
"1080+5",89,0.00
"1200+19",88,0.00
"600+19",88,0.00
"1140+18",87,0.00
"1800+7",86,0.00
"240+12",85,0.00
"1500+14",85,0.00
"2100+2",85,0.00
"5400+10",83,0.00
"1800+35",83,0.00
"420+18",83,0.00
"960+1",82,0.00
"960+4",82,0.00
"60+180",81,0.00
"180+12",80,0.00
"420+11",80,0.00
"780+30",80,0.00
"240+15",78,0.00
"540+8",78,0.00
"600+13",77,0.00
"7200+3",77,0.00
"45+7",77,0.00
"300+120",76,0.00
"600+120",76,0.00
"3600+1",75,0.00
"300+19",75,0.00
"1260+1",74,0.00
"1140+8",74,0.00
"2700+9",74,0.00
"30+180",74,0.00
"0+60",73,0.00
"10800+60",73,0.00
"960+8",73,0.00
"5400+7",73,0.00
"420+30",72,0.00
"0+25",71,0.00
"600+16",71,0.00
"1140+15",71,0.00
"10800+2",71,0.00
"960+13",71,0.00
"1260+3",70,0.00
"3600+2",70,0.00
"1260+2",69,0.00
"960+7",69,0.00
"180+35",68,0.00
"1260+5",67,0.00
"660+4",66,0.00
"420+45",65,0.00
"1020+17",64,0.00
"0+13",64,0.00
"960+17",64,0.00
"90+8",63,0.00
"900+19",63,0.00
"2100+35",63,0.00
"1800+16",62,0.00
"10800+30",62,0.00
"1500+9",61,0.00
"60+14",61,0.00
"840+7",60,0.00
"1260+8",59,0.00
"120+20",59,0.00
"1080+12",58,0.00
"5400+20",58,0.00
"1500+4",58,0.00
"420+25",57,0.00
"540+11",57,0.00
"660+13",56,0.00
"3600+6",56,0.00
"780+15",56,0.00
"540+15",55,0.00
"180+19",55,0.00
"2400+40",54,0.00
"960+11",54,0.00
"1500+180",54,0.00
"120+45",53,0.00
"780+14",53,0.00
"2700+35",53,0.00
"240+120",53,0.00
"1140+19",52,0.00
"780+20",52,0.00
"660+12",52,0.00
"300+16",51,0.00
"60+35",51,0.00
"1800+150",51,0.00
"1200+40",51,0.00
"2700+60",50,0.00
"1260+13",50,0.00
"5400+15",50,0.00
"120+40",50,0.00
"780+12",49,0.00
"7200+120",49,0.00
"2700+25",49,0.00
"1020+13",48,0.00
"90+15",48,0.00
"240+14",48,0.00
"960+2",48,0.00
"360+16",48,0.00
"1020+20",48,0.00
"240+16",48,0.00
"10800+150",47,0.00
"840+60",47,0.00
"180+11",46,0.00
"9000+15",46,0.00
"840+17",46,0.00
"720+11",45,0.00
"1140+10",45,0.00
"300+150",45,0.00
"1020+6",44,0.00
"180+14",43,0.00
"2400+25",42,0.00
"2100+180",41,0.00
"1140+7",41,0.00
"480+30",41,0.00
"900+17",41,0.00
"1020+8",41,0.00
"1800+14",40,0.00
"10800+35",40,0.00
"1500+45",40,0.00
"3600+7",40,0.00
"1800+17",40,0.00
"840+13",40,0.00
"180+180",39,0.00
"7200+17",39,0.00
"1500+17",39,0.00
"2400+120",38,0.00
"15+8",38,0.00
"2100+14",38,0.00
"2100+1",38,0.00
"720+30",38,0.00
"5400+180",37,0.00
"420+16",37,0.00
"2700+13",37,0.00
"45+11",37,0.00
"2400+60",37,0.00
"2100+8",36,0.00
"0+35",36,0.00
"600+18",36,0.00
"7200+180",35,0.00
"120+11",35,0.00
"360+18",35,0.00
"15+90",34,0.00
"120+35",34,0.00
"960+9",34,0.00
"420+20",34,0.00
"600+90",34,0.00
"1140+13",34,0.00
"45+8",34,0.00
"4500+3",33,0.00
"7200+60",33,0.00
"360+13",32,0.00
"3000+0",32,0.00
"420+180",32,0.00
"5400+35",31,0.00
"60+60",30,0.00
"1800+19",29,0.00
"120+180",29,0.00
"1020+1",29,0.00
"2700+4",29,0.00
"1200+90",29,0.00
"840+20",29,0.00
"1020+11",28,0.00
"1500+12",28,0.00
"2100+17",28,0.00
"780+16",28,0.00
"1020+12",27,0.00
"9000+10",27,0.00
"30+8",27,0.00
"1020+18",26,0.00
"360+60",26,0.00
"960+25",26,0.00
"900+120",26,0.00
"480+35",26,0.00
"4500+30",25,0.00
"120+17",25,0.00
"1080+15",25,0.00
"1020+2",25,0.00
"120+60",25,0.00
"2400+4",25,0.00
"90+13",25,0.00
"1080+20",24,0.00
"840+12",24,0.00
"1020+9",24,0.00
"1500+90",24,0.00
"10800+6",23,0.00
"15+9",23,0.00
"1020+19",23,0.00
"2100+6",23,0.00
"8100+0",23,0.00
"1140+2",23,0.00
"1020+15",23,0.00
"540+14",23,0.00
"5400+90",22,0.00
"10800+20",22,0.00
"600+35",22,0.00
"480+180",22,0.00
"180+60",22,0.00
"2400+8",22,0.00
"600+40",22,0.00
"180+40",22,0.00
"4500+60",22,0.00
"420+40",22,0.00
"90+30",21,0.00
"9900+0",21,0.00
"120+30",21,0.00
"10800+8",21,0.00
"360+14",21,0.00
"4500+10",21,0.00
"600+150",21,0.00
"660+14",20,0.00
"7200+1",20,0.00
"360+19",20,0.00
"3600+12",20,0.00
"540+30",20,0.00
"10800+120",20,0.00
"2400+180",20,0.00
"15+15",20,0.00
"1140+30",20,0.00
"9000+5",20,0.00
"1500+13",19,0.00
"9000+180",19,0.00
"7200+5",19,0.00
"1200+35",19,0.00
"0+16",19,0.00
"1500+40",19,0.00
"45+180",19,0.00
"240+45",19,0.00
"360+180",19,0.00
"780+180",19,0.00
"45+12",19,0.00
"6300+20",19,0.00
"8100+10",19,0.00
"3600+35",18,0.00
"2100+40",18,0.00
"180+45",18,0.00
"9900+180",18,0.00
"15+35",18,0.00
"1500+60",18,0.00
"1020+45",18,0.00
"1500+11",18,0.00
"1080+4",17,0.00
"10800+4",17,0.00
"8100+30",17,0.00
"720+13",17,0.00
"480+90",17,0.00
"5400+45",17,0.00
"1500+35",17,0.00
"4500+45",17,0.00
"360+17",17,0.00
"2400+2",16,0.00
"1080+2",16,0.00
"1800+120",16,0.00
"9000+3",16,0.00
"1140+5",16,0.00
"90+12",16,0.00
"10800+9",16,0.00
"2700+7",15,0.00
"10800+17",15,0.00
"30+40",15,0.00
"780+17",15,0.00
"660+90",15,0.00
"1440+2",15,0.00
"4500+15",15,0.00
"720+17",15,0.00
"2400+14",14,0.00
"2400+6",14,0.00
"2100+45",14,0.00
"30+14",14,0.00
"1140+12",14,0.00
"3600+25",14,0.00
"780+40",14,0.00
"9000+25",14,0.00
"120+19",14,0.00
"60+40",14,0.00
"2400+16",14,0.00
"90+14",13,0.00
"2100+12",13,0.00
"30+20",13,0.00
"1500+16",13,0.00
"7200+45",13,0.00
"30+15",13,0.00
"30+30",13,0.00
"4500+8",13,0.00
"1440+1",13,0.00
"3600+40",13,0.00
"1080+18",13,0.00
"5400+18",13,0.00
"900+35",13,0.00
"15+17",13,0.00
"960+18",13,0.00
"30+120",13,0.00
"240+25",13,0.00
"15+60",12,0.00
"540+20",12,0.00
"6300+30",12,0.00
"1080+17",12,0.00
"1080+11",12,0.00
"90+180",12,0.00
"2100+16",12,0.00
"10800+40",12,0.00
"720+90",12,0.00
"960+20",12,0.00
"6300+10",12,0.00
"8100+2",12,0.00
"2400+35",11,0.00
"3600+90",11,0.00
"480+20",11,0.00
"4500+180",11,0.00
"480+16",11,0.00
